Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Baro Altitude,GPS posENU[0],GPS posENU[1],GPS posENU[2],Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,VN Stdev,VE Stdev,Accel Bias X Stdev,Accel Bias Y Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],onGround,movingDetection,
0.500000,-0.004709,-0.000000,0.101886,-0.006545,0.006549,0.002315,9.995154,10.143569,45.020239,-0.000319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
1.000000,-0.009356,-0.000000,0.101886,-0.006765,0.006770,0.002393,9.995033,10.143446,45.020229,-0.000350,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
1.500000,-0.014003,-0.000000,0.101886,-0.006761,0.006765,0.002391,9.994905,10.143660,45.019256,-0.000364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.414444,8.831687,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.016667,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
2.000000,-0.018687,-0.000000,0.101928,-0.006766,0.006771,0.002393,9.994867,10.143705,45.019015,-0.000402,0.000000,0.000000,0.000000,0.000000,0.063200,0.067710,0.000000,1.000000,0.000000,0.000000,6.416518,8.828719,0.031868,-0.029716,-0.067711,9.819496,0.000001,-3.578433,-1.315051,-45.030196,0.001061,-0.016541,0.024326,0.015690,-0.004964,0.005349,0.095400,-0.090054,0.063564,-0.039398,0.088123,0.050477,0.257091,0.252498,0.019547,0.012714,-0.000005,0.000006,-0.000007,-0.020528,-0.029425,0.050731,1.000000,0.000000,
2.500000,-0.023380,-0.000000,0.101928,-0.006896,0.006900,0.002439,9.994699,10.143786,45.018304,-0.000391,0.078933,-0.513510,-0.432232,2.112000,0.063732,0.074071,1.000000,2.000000,0.000000,1.000000,6.419422,8.824736,0.031642,-0.029797,-0.067684,9.819447,-0.000042,-3.575421,-1.319193,-45.022235,0.011203,-0.001254,0.000891,0.019656,-0.005587,-0.060606,-0.463689,0.455160,0.062184,-0.102954,0.024217,0.068543,0.142254,0.123140,0.018965,0.012550,-0.432220,-0.513490,2.112061,-0.000151,-0.029645,-0.011167,1.000000,0.000000,
3.000000,-0.028072,0.000000,0.101929,-0.006698,0.006701,0.002369,9.994436,10.144303,45.016085,-0.000430,0.078933,-0.513510,-0.432232,2.112000,0.063788,0.058804,1.000000,2.000000,0.000000,1.000000,6.421985,8.820706,0.031642,-0.029797,-0.067684,9.819447,-0.000042,-3.572463,-1.323575,-45.026108,0.014566,-0.001903,0.003277,0.026424,-0.006570,-0.059732,0.035446,-0.027087,0.064031,-0.081660,0.044967,0.068313,0.237838,0.192320,0.018965,0.012550,-0.432220,-0.513490,2.112061,-0.000151,-0.029645,-0.011167,1.000000,0.000000,
3.500000,-0.032765,0.000000,0.101928,-0.006606,0.006610,0.002336,9.994069,10.144651,45.014039,-0.000365,-0.013768,-0.335819,0.273377,-5.290667,0.057513,0.068982,2.000000,3.000000,1.000000,2.000000,6.581925,8.866622,0.031767,-0.029808,-0.067504,9.819201,-0.000296,-3.412091,-1.277971,-45.024436,0.012126,0.001833,-0.003382,0.032479,-0.004118,-0.022083,-0.471997,0.482426,0.055962,-0.102989,0.024142,0.069041,0.125886,0.118516,0.012039,0.009749,0.275559,-0.333056,-5.332479,-0.009500,0.019092,-0.311649,1.000000,0.000000,
4.000000,-0.037459,0.000000,0.101929,-0.006625,0.006627,0.002343,9.993671,10.144981,45.011955,-0.000363,-0.013768,-0.335819,0.273377,-5.290667,0.033038,0.080433,2.000000,3.000000,4.000000,2.000000,7.267110,9.258620,0.031770,-0.029811,-0.067505,9.819202,-0.000295,-2.726487,-0.886320,-45.028535,0.001143,0.034777,-0.001369,0.036648,0.003673,-0.023413,-0.520832,0.579515,0.031485,-0.102816,0.023019,0.068605,0.194298,0.178247,0.012039,0.009749,0.275559,-0.333056,-5.332479,-0.009500,0.019092,-0.311649,1.000000,0.000000,
4.500000,-0.042151,0.000000,0.101929,-0.006769,0.006771,0.002394,9.993419,10.145137,45.010780,-0.000415,0.090876,1.075925,1.975520,-1.951250,0.040489,0.063893,3.000000,4.000000,6.000000,3.000000,7.038201,9.184163,0.031522,-0.028719,-0.067556,9.819298,-0.000201,-2.955287,-0.961036,-45.027410,-0.021493,0.054306,-0.000327,0.041955,0.007214,-0.041364,-0.029160,0.068937,0.040944,-0.023942,0.104301,0.069508,0.119763,0.115229,0.009389,0.008170,1.974089,1.086064,-1.971682,-0.045887,-0.099073,0.089708,1.000000,0.000000,
5.000000,-0.046844,0.000000,0.101928,-0.006803,0.006805,0.002406,9.992906,10.145658,45.007820,-0.000432,0.090876,1.075925,1.975520,-1.951250,0.022224,0.052443,3.000000,4.000000,9.000000,3.000000,7.470900,9.509335,0.031522,-0.028719,-0.067552,9.819292,-0.000207,-2.522066,-0.636343,-45.031364,-0.058750,0.114143,0.002970,0.023002,0.047779,-0.040608,-0.497198,0.541390,0.021069,-0.088309,0.039292,0.047827,0.179112,0.169946,0.009389,0.008170,1.974089,1.086064,-1.971682,-0.045887,-0.099073,0.089708,1.000000,0.000000,
