Time ,N (m),E (m),gndAlt,velLL X  ,velLL Y  ,velLL Z  ,Roll ,Pitch,Yaw  ,Body Accel Z,Baro Altitude,GPS posENU[0],GPS posENU[1],GPS posENU[2],Nav Acc Z,Nav Yaw Rate,Baro Update Count,GPS Update Count,Accel Update Count,Ground Align Update Count,Nav Roll,Nav Pitch,Accel Bias X (g),Accel Bias Y (g),Accel Bias Z (g),Gravity,Gravity Bias,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,N Error (m),E Error (m),Alt Error (m),Acc Body X Error,Acc Body Y Error,Acc Body Z Error,p Error,q Error,r Error,VN Stdev,VE Stdev,Accel Bias X Stdev,Accel Bias Y Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],onGround,movingDetection,
0.500000,-0.000000,-0.000000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
1.000000,-0.000000,-0.000000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
1.500000,-0.000000,-0.000000,0.098772,-0.000000,0.000000,0.000000,0.000000,0.000000,45.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.495256,-0.341344,0.000000,0.000000,0.000000,9.819500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.016667,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,
2.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000001,0.000000,0.000000,45.000000,0.000019,0.000000,0.000000,0.000000,0.000000,0.063469,0.065802,0.000000,1.000000,0.000000,0.000000,-2.492642,-0.344552,0.015056,-0.012970,-0.081239,9.819514,0.000000,-2.492642,-0.344552,-44.996679,0.016992,-0.001931,0.007205,0.005088,-0.000364,0.000666,-0.048574,0.050583,0.063450,-0.056489,0.068295,0.065802,0.244528,0.253967,0.015497,0.026983,-0.000007,0.000007,-0.000005,0.029308,0.000721,0.010528,1.000000,0.000000,
2.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.050926,-0.826507,3.058870,2.937500,0.063475,0.065802,1.000000,2.000000,0.000000,1.000000,-2.488870,-0.349214,0.015287,-0.012731,-0.081239,9.819505,-0.000000,-2.488870,-0.349214,-45.003563,0.002396,-0.005047,0.003408,0.030340,-0.009601,-0.043115,-0.050044,0.048888,0.063475,-0.056489,0.068295,0.065802,0.097734,0.139297,0.015178,0.025398,3.058860,-0.826517,2.937533,-0.010251,-0.090000,-0.020865,1.000000,0.000000,
3.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,0.000000,0.050926,-0.826507,3.058870,2.937500,0.063498,0.065802,1.000000,2.000000,0.000000,1.000000,-2.485130,-0.353872,0.015287,-0.012731,-0.081239,9.819505,-0.000000,-2.485130,-0.353872,-45.007588,0.005347,-0.008956,0.006754,0.032363,-0.013236,-0.040649,-0.049246,0.049528,0.063498,-0.056489,0.068295,0.065802,0.170796,0.262219,0.015178,0.025398,3.058860,-0.826517,2.937533,-0.010251,-0.090000,-0.020865,1.000000,0.000000,
3.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.016829,-3.680968,5.770474,-1.122335,0.064532,0.065802,2.000000,3.000000,1.000000,2.000000,-2.338887,-0.241838,0.015152,-0.013566,-0.081226,9.819506,-0.000000,-2.338887,-0.241838,-45.005933,0.008772,0.003027,0.003764,0.051505,-0.022636,-0.024446,-0.067119,0.082757,0.064532,-0.056489,0.068295,0.065802,0.079478,0.083281,0.007919,0.008810,5.752944,-3.676412,-1.152948,0.530085,-0.020332,-0.051650,1.000000,0.000000,
4.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.016829,-3.680968,5.770474,-1.122335,0.068057,0.065802,2.000000,3.000000,4.000000,2.000000,-1.759264,0.279617,0.015157,-0.013572,-0.081226,9.819506,-0.000000,-1.759264,0.279617,-45.010102,-0.014628,0.035944,0.007561,0.051515,-0.014519,-0.021760,-0.156533,0.182084,0.068057,-0.056489,0.068295,0.065802,0.121148,0.128879,0.007919,0.008810,5.752944,-3.676412,-1.152948,0.530085,-0.020332,-0.051650,1.000000,0.000000,
4.500000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,-0.000000,0.087171,-2.951459,1.551599,-2.481249,0.067141,0.065802,3.000000,4.000000,6.000000,3.000000,-1.887564,0.174202,0.014306,-0.011879,-0.081197,9.819509,-0.000000,-1.887564,0.174202,-45.013204,-0.037875,0.050640,-0.000625,0.047319,-0.022614,-0.040770,-0.130130,0.143506,0.067141,-0.056489,0.068295,0.065802,0.072556,0.074219,0.005694,0.006048,1.501388,-2.924775,-2.507876,0.307178,0.070783,-0.421793,1.000000,0.000000,
5.000000,-0.000000,-0.000000,0.098815,-0.000000,0.000000,-0.000000,0.000000,0.000000,45.000000,0.000000,0.087171,-2.951459,1.551599,-2.481249,0.068030,0.065802,3.000000,4.000000,9.000000,3.000000,-1.692604,0.363464,0.014308,-0.011881,-0.081196,9.819509,-0.000000,-1.692604,0.363464,-45.017335,-0.079761,0.098680,0.004158,0.018271,0.014356,-0.039913,-0.162584,0.176930,0.068030,-0.056489,0.068295,0.065802,0.105572,0.108748,0.005694,0.006048,1.501388,-2.924775,-2.507876,0.307178,0.070783,-0.421793,1.000000,0.000000,
