Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,-0.530391,0.145103,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,-0.306495,0.214901,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,0.028672,-0.042251,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,0.653600,0.127778,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,-0.048693,-0.165818,-0.081037,0.250000,-0.000742,-0.002282,0.016041,0.004586,1.000000,0.000000,0.105369,0.000000,0.020650,-3.493932,-0.519654,-81.119070,0.006863,0.016042,0.002300,-0.000792,0.006508,0.023315,0.002359,-0.003182,0.008853,0.061879,-0.013756,-0.008397,-0.009589,-0.038927,4.920218,1.957710,0.035713,0.091588,0.092721,0.081999,0.034807,0.035221,0.032499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,-0.074506,-0.070126,-0.081037,0.250000,-0.003214,-0.004009,0.028829,0.007813,1.000000,0.000000,0.105369,0.000000,0.020650,-3.492595,-0.518761,-81.135772,0.005283,0.028830,0.005492,-0.002555,0.019522,0.026991,0.011398,-0.001891,0.008853,0.061879,-0.013756,-0.008397,-0.009589,-0.038927,4.920358,1.958050,0.051243,0.151208,0.153173,0.133178,0.094171,0.095369,0.085657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,-0.005965,0.008192,-0.185456,0.250000,-0.001395,0.000025,-0.000929,0.003223,2.000000,0.000000,0.552871,0.000000,0.110350,-3.556172,-0.526240,-81.138400,0.009063,-0.000929,0.000964,0.001498,-0.010369,0.034240,-0.006526,-0.004891,0.008706,0.060907,-0.013961,-0.008383,-0.009498,-0.038425,4.802616,1.930941,0.036067,0.054284,0.054332,0.047502,0.042443,0.042471,0.040482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,0.286701,0.578814,-0.185456,0.250000,-0.003073,-0.000795,0.003760,0.004926,2.000000,0.000000,0.552871,0.000000,0.110350,-3.555154,-0.525202,-81.154917,0.008835,0.003761,0.002519,0.000699,-0.005823,0.039071,-0.006575,-0.004394,0.008706,0.060907,-0.013961,-0.008383,-0.009498,-0.038425,4.802766,1.931307,0.051473,0.075887,0.075967,0.063153,0.070878,0.070941,0.066465,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,0.473818,0.606440,-0.065291,0.250000,-0.002184,-0.000306,0.000501,0.002347,3.000000,0.000000,0.067071,0.000000,0.021819,-3.547459,-0.524509,-81.165622,0.009100,0.000502,-0.000005,0.001150,-0.008858,0.043852,-0.006303,-0.006464,0.008700,0.060763,-0.014042,-0.008378,-0.009458,-0.038205,4.791262,1.929265,0.042354,0.047223,0.047236,0.039019,0.051700,0.051708,0.048728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,-0.167737,0.281411,-0.065291,0.250000,-0.003506,-0.001276,0.005806,0.003600,3.000000,0.000000,0.067071,0.000000,0.021819,-3.546391,-0.523398,-81.181929,0.008273,0.005806,0.001213,0.000203,-0.003706,0.048327,-0.004431,-0.006323,0.008700,0.060763,-0.014042,-0.008378,-0.009458,-0.038205,4.791420,1.929651,0.056192,0.063435,0.063456,0.049095,0.072497,0.072514,0.067759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
