Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,-0.002176,-0.056833,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,-0.352633,-0.020735,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,0.276312,0.005055,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,0.086194,-0.052892,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,-0.010251,-0.000144,0.013152,0.250000,-0.000356,-0.002282,0.016148,0.003648,1.000000,0.000000,0.002699,0.000000,0.000000,0.020650,-3.481506,-0.519541,-81.119070,0.006864,0.016148,0.001362,-0.000791,0.006614,0.023315,0.002379,-0.003569,0.008847,0.061672,-0.013836,-0.008397,-0.009589,-0.038926,4.920218,1.957710,0.035713,0.091591,0.092723,0.082010,0.034808,0.035222,0.032501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,0.087560,0.010897,0.013152,0.250000,-0.002217,-0.004008,0.029071,0.006307,1.000000,0.000000,0.002699,0.000000,0.000000,0.020650,-3.480169,-0.518647,-81.135773,0.005284,0.029072,0.003986,-0.002554,0.019765,0.026991,0.011505,-0.002888,0.008847,0.061672,-0.013836,-0.008397,-0.009589,-0.038926,4.920358,1.958050,0.051243,0.151214,0.153179,0.133203,0.094174,0.095372,0.085669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,0.608903,-0.555146,-0.205166,0.250000,-0.001570,0.000025,-0.001022,0.003427,2.000000,0.000000,0.676317,0.000000,0.000000,0.109896,-3.558065,-0.526251,-81.138400,0.009063,-0.001022,0.001167,0.001498,-0.010462,0.034240,-0.006579,-0.004716,0.008706,0.060919,-0.013952,-0.008383,-0.009498,-0.038425,4.801099,1.930868,0.036067,0.054283,0.054331,0.047500,0.042443,0.042471,0.040480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,0.056042,-0.200644,-0.205166,0.250000,-0.003364,-0.000795,0.003557,0.005186,2.000000,0.000000,0.676317,0.000000,0.000000,0.109896,-3.557047,-0.525213,-81.154917,0.008835,0.003558,0.002779,0.000699,-0.006026,0.039071,-0.006702,-0.004103,0.008706,0.060919,-0.013952,-0.008383,-0.009498,-0.038425,4.801250,1.931233,0.051473,0.075885,0.075965,0.063148,0.070877,0.070940,0.066461,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,0.048075,0.025217,-0.186197,0.250000,-0.005731,-0.000306,0.000354,0.004488,3.000000,0.000000,0.543049,0.000000,0.000000,0.022186,-3.560568,-0.524813,-81.165622,0.009100,0.000354,0.002137,0.001151,-0.009006,0.043852,-0.006331,-0.002916,0.008707,0.060977,-0.014003,-0.008379,-0.009458,-0.038205,4.790373,1.929222,0.042354,0.047222,0.047235,0.039014,0.051700,0.051707,0.048728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,0.241990,-0.108132,-0.186197,0.250000,-0.008219,-0.001275,0.005532,0.006120,3.000000,0.000000,0.543049,0.000000,0.000000,0.022186,-3.559500,-0.523703,-81.181929,0.008274,0.005532,0.003733,0.000204,-0.003980,0.048327,-0.004565,-0.001610,0.008707,0.060977,-0.014003,-0.008379,-0.009458,-0.038205,4.790531,1.929609,0.056192,0.063434,0.063454,0.049087,0.072496,0.072514,0.067755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
