Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,-0.029846,0.000346,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,0.218219,-0.302195,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,0.078999,0.064184,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,-0.004770,0.037784,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,-0.000436,0.097995,-0.058751,0.250000,-0.000651,-0.002282,0.016067,0.004364,1.000000,0.000000,0.055465,0.000000,0.000000,0.020650,-3.490992,-0.519628,-81.119070,0.006863,0.016067,0.002078,-0.000791,0.006533,0.023315,0.002363,-0.003274,0.008851,0.061830,-0.013775,-0.008397,-0.009589,-0.038926,4.920218,1.957710,0.035713,0.091589,0.092722,0.082002,0.034807,0.035221,0.032499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,0.174828,0.124246,-0.058751,0.250000,-0.002978,-0.004008,0.028887,0.007457,1.000000,0.000000,0.055465,0.000000,0.000000,0.020650,-3.489655,-0.518734,-81.135773,0.005283,0.028887,0.005135,-0.002555,0.019580,0.026991,0.011423,-0.002127,0.008851,0.061830,-0.013775,-0.008397,-0.009589,-0.038926,4.920358,1.958050,0.051243,0.151210,0.153175,0.133184,0.094172,0.095370,0.085660,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,-0.288859,0.064073,0.272186,0.250000,0.005941,0.000023,-0.000609,-0.004224,2.000000,0.000000,1.161421,0.000000,0.000000,0.110220,-3.494208,-0.525271,-81.138401,0.009061,-0.000609,-0.006483,0.001495,-0.010049,0.034239,-0.006465,-0.012227,0.008677,0.059844,-0.014188,-0.008383,-0.009498,-0.038424,4.802258,1.930924,0.036067,0.054286,0.054335,0.047523,0.042443,0.042472,0.040486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,-0.363351,0.620585,0.272186,0.250000,0.008498,-0.000799,0.004468,-0.004563,2.000000,0.000000,1.161421,0.000000,0.000000,0.110220,-3.493191,-0.524226,-81.154920,0.008831,0.004468,-0.006970,0.000694,-0.005115,0.039068,-0.006257,-0.015964,0.008677,0.059844,-0.014188,-0.008383,-0.009498,-0.038424,4.802408,1.931289,0.051473,0.075893,0.075976,0.063201,0.070881,0.070944,0.066486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,0.319000,0.346090,0.064363,0.250000,0.006730,-0.000308,0.000597,-0.002343,3.000000,0.000000,0.055955,0.000000,0.000000,0.023861,-3.519374,-0.523346,-81.165624,0.009098,0.000597,-0.004695,0.001149,-0.008762,0.043852,-0.006425,-0.015378,0.008675,0.060248,-0.014118,-0.008376,-0.009458,-0.038205,4.786262,1.929106,0.042354,0.047224,0.047237,0.039028,0.051699,0.051707,0.048724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,-0.068654,-0.109352,0.064363,0.250000,0.007960,-0.001279,0.005889,-0.001920,3.000000,0.000000,0.055955,0.000000,0.000000,0.023861,-3.518307,-0.522232,-81.181933,0.008270,0.005890,-0.004307,0.000200,-0.003622,0.048325,-0.004508,-0.017789,0.008675,0.060248,-0.014118,-0.008376,-0.009458,-0.038205,4.786418,1.929492,0.056192,0.063436,0.063457,0.049106,0.072497,0.072514,0.067759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.500000,0.101928,-0.001443,0.009293,0.002351,0.012105,14.032114,2.223682,81.175244,-0.037953,-0.005659,-0.016004,0.250000,0.005126,-0.001002,0.003357,0.000160,4.000000,0.000000,0.007453,0.000000,0.000000,0.054957,-3.537654,-0.521688,-81.186653,0.008688,0.003357,-0.002263,0.000441,-0.005936,0.053284,-0.005233,-0.016136,0.008665,0.060492,-0.014101,-0.008347,-0.009391,-0.037810,4.781441,1.928818,0.041732,0.044600,0.044604,0.035154,0.059047,0.059051,0.055087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6.000000,0.101929,-0.001463,0.009436,0.002387,0.028539,14.032491,2.221072,81.185677,-0.148266,0.126341,-0.016004,0.250000,0.005004,-0.001629,0.005159,0.000315,4.000000,0.000000,0.007453,0.000000,0.000000,0.054957,-3.536205,-0.520652,-81.202919,0.007408,0.005159,-0.001944,-0.000166,-0.004277,0.057338,-0.001887,-0.017195,0.008665,0.060492,-0.014101,-0.008347,-0.009391,-0.037810,4.781603,1.929222,0.055682,0.058978,0.058985,0.043243,0.075921,0.075928,0.070433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
6.500000,0.101928,-0.001485,0.009585,0.002425,0.042420,14.032886,2.218500,81.195970,-0.047557,-0.042513,0.310077,0.250000,0.019566,-0.002229,0.010528,-0.002800,5.000000,0.000000,1.423926,0.000000,0.000000,0.011400,-3.535759,-0.519552,-81.215770,0.007404,0.010528,-0.005208,-0.000744,0.000943,0.062415,-0.001811,-0.032938,0.008629,0.060398,-0.014184,-0.008293,-0.009388,-0.037710,4.779899,1.928906,0.050050,0.043432,0.043433,0.033099,0.064522,0.064524,0.059728,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7.000000,0.101928,-0.001449,0.009369,0.002370,0.007544,14.033208,2.215948,81.206140,0.098197,-0.538930,0.310077,0.250000,0.021161,-0.003271,0.014734,-0.002692,5.000000,0.000000,1.423926,0.000000,0.000000,0.011400,-3.534586,-0.518595,-81.232050,0.006149,0.014735,-0.005045,-0.001822,0.005365,0.065943,0.004529,-0.035714,0.008629,0.060398,-0.014184,-0.008293,-0.009388,-0.037710,4.780067,1.929326,0.062343,0.056993,0.056994,0.040213,0.079100,0.079103,0.072763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
7.500000,0.101928,-0.001473,0.009530,0.002411,0.016517,14.033686,2.213300,81.216790,0.093426,0.028037,0.115812,0.250000,0.023477,-0.001607,0.005535,-0.001829,6.000000,0.000000,0.147127,0.000000,0.000000,0.091682,-3.549875,-0.517877,-81.238627,0.007534,0.005536,-0.004114,-0.000134,-0.003995,0.072421,-0.004171,-0.039211,0.008578,0.060411,-0.014168,-0.008096,-0.009374,-0.037409,4.779693,1.929120,0.047236,0.042863,0.042863,0.031914,0.068420,0.068421,0.062927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
8.000000,0.101929,-0.001438,0.009319,0.002357,-0.023450,14.034057,2.210659,81.227338,-0.289215,-0.172587,0.115812,0.250000,0.024976,-0.002490,0.008417,-0.001653,6.000000,0.000000,0.147127,0.000000,0.000000,0.091682,-3.548688,-0.516811,-81.254491,0.006809,0.008418,-0.003977,-0.001052,-0.000902,0.076649,-0.002882,-0.041891,0.008578,0.060411,-0.014168,-0.008096,-0.009374,-0.037409,4.779866,1.929557,0.060006,0.056018,0.056016,0.038459,0.081609,0.081611,0.074446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
