Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,0.013428,-0.006438,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,0.411951,0.022315,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,0.044304,0.061204,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,0.470496,0.290534,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,0.137565,0.355668,-0.265671,0.250000,-0.001499,-0.002283,0.015833,0.006424,1.000000,0.000000,1.129465,0.000000,0.000000,0.020650,-3.518291,-0.519876,-81.119070,0.006862,0.015833,0.004138,-0.000793,0.006299,0.023315,0.002319,-0.002425,0.008863,0.062286,-0.013600,-0.008397,-0.009589,-0.038927,4.920218,1.957710,0.035713,0.091583,0.092716,0.081978,0.034806,0.035220,0.032494,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,-0.476160,0.252378,-0.265671,0.250000,-0.005170,-0.004010,0.028356,0.010764,1.000000,0.000000,1.129465,0.000000,0.000000,0.020650,-3.516954,-0.518985,-81.135771,0.005282,0.028357,0.008442,-0.002556,0.019049,0.026990,0.011187,0.000065,0.008863,0.062286,-0.013600,-0.008397,-0.009589,-0.038927,4.920358,1.958050,0.051243,0.151197,0.153162,0.133131,0.094166,0.095364,0.085635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,-0.028627,0.054973,-0.145769,0.250000,-0.001034,0.000025,-0.000746,0.002807,2.000000,0.000000,0.342044,0.000000,0.000000,0.111960,-3.552500,-0.526215,-81.138400,0.009063,-0.000746,0.000548,0.001498,-0.010186,0.034240,-0.006422,-0.005252,0.008705,0.060883,-0.013980,-0.008383,-0.009498,-0.038424,4.805559,1.931084,0.036067,0.054285,0.054333,0.047507,0.042444,0.042472,0.040485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,0.067115,-0.590317,-0.145769,0.250000,-0.002475,-0.000795,0.004163,0.004395,2.000000,0.000000,0.342044,0.000000,0.000000,0.111960,-3.551482,-0.525177,-81.154917,0.008835,0.004163,0.001988,0.000699,-0.005420,0.039071,-0.006325,-0.004992,0.008705,0.060883,-0.013980,-0.008383,-0.009498,-0.038424,4.805710,1.931450,0.051473,0.075889,0.075970,0.063164,0.070880,0.070943,0.066472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,0.047729,0.012543,-0.025592,0.250000,-0.000813,-0.000306,0.000705,0.001526,3.000000,0.000000,0.010549,0.000000,0.000000,0.021182,-3.542238,-0.524393,-81.165622,0.009099,0.000705,-0.000826,0.001150,-0.008655,0.043852,-0.006265,-0.007835,0.008697,0.060697,-0.014060,-0.008377,-0.009459,-0.038205,4.792921,1.929347,0.042354,0.047224,0.047237,0.039024,0.051700,0.051708,0.048729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,0.023219,0.017136,-0.025592,0.250000,-0.001688,-0.001276,0.006151,0.002632,3.000000,0.000000,0.010549,0.000000,0.000000,0.021182,-3.541171,-0.523282,-81.181930,0.008273,0.006151,0.000246,0.000202,-0.003361,0.048327,-0.004256,-0.008140,0.008697,0.060697,-0.014060,-0.008377,-0.009459,-0.038205,4.793078,1.929733,0.056192,0.063437,0.063458,0.049103,0.072497,0.072515,0.067763,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
