Time ,gndAlt,velLL X  ,velLL Y  ,velLL Z  ,r,Roll ,Pitch,Yaw  ,gps_velN,gps_velE,Baro Altitude,Baro Altitude RMS,Nav Alt,Nav velLL X,Nav velLL Y,Nav velLL Z,Baro Update Count,GPS Update Count,Baro Chi2,GPS Chi2,GPS2D Chi2,Ground Align Chi2,Roll Error,Pitch Error,Yaw Error,Vel N Error,Vel E Error,Vel D Error,velLL X Error,velLL Y Error,N Error (m),E Error (m),Alt Error (m),Acc Bias X Error,Acc Bias Y Error,Acc Bias Z Error,Gyro Bias X Error,Gyro Bias Y Error,Gyro Bias Z Error,Roll Stdev,Pitch Stdev,Yaw Stdev,VN Stdev,VE Stdev,VD Stdev,N Stdev,E Stdev,Alt Stdev,GPSResidual[GPS_N],GPSResidual[GPS_E],GPSResidual[GPS_ALT],GPSResidual[GPS_VN],GPSResidual[GPS_VE],GPSResidual[GPS_VD],
0.500000,0.101886,-0.001489,0.009473,0.002397,-0.010555,14.027753,2.250979,81.065854,0.321770,-0.108027,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.000000,0.101886,-0.001422,0.009057,0.002292,0.047650,14.028408,2.248111,81.077484,0.111444,-0.225455,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
1.500000,0.101886,-0.001430,0.009121,0.002308,0.053929,14.029014,2.244386,81.092417,0.292052,0.265584,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001430,-0.009121,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.554585,2.726392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.000000,0.101929,-0.001403,0.008965,0.002268,0.006621,14.029256,2.241677,81.103140,0.010529,0.005698,0.000000,0.250000,0.000021,0.002053,-0.008820,0.001263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.615658,-0.539215,-81.106686,0.011433,-0.008820,-0.001081,0.003457,-0.017785,0.019149,-0.001738,-0.002764,0.008556,0.061474,-0.013431,-0.008397,-0.009618,-0.039084,8.554631,2.726544,0.028770,0.212318,0.651904,0.121421,0.032977,0.101088,0.018858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
2.500000,0.101928,-0.001491,0.009534,0.002412,0.000375,14.029648,2.239196,81.113080,-0.152485,0.741910,0.103356,0.250000,0.000014,-0.002281,0.016250,0.002749,1.000000,0.000000,0.170226,0.000000,0.000000,0.020650,-3.469605,-0.519433,-81.119071,0.006864,0.016251,0.000463,-0.000791,0.006717,0.023316,0.002398,-0.003939,0.008842,0.061473,-0.013912,-0.008397,-0.009589,-0.038926,4.920218,1.957710,0.035713,0.091593,0.092726,0.082020,0.034808,0.035222,0.032503,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.000000,0.101928,-0.001454,0.009307,0.002355,-0.014378,14.030025,2.236595,81.123483,0.033590,0.036323,0.103356,0.250000,-0.001261,-0.004007,0.029304,0.004865,1.000000,0.000000,0.170226,0.000000,0.000000,0.020650,-3.468268,-0.518538,-81.135774,0.005285,0.029305,0.002544,-0.002554,0.019997,0.026992,0.011609,-0.003844,0.008842,0.061473,-0.013912,-0.008397,-0.009589,-0.038926,4.920358,1.958050,0.051243,0.151220,0.153185,0.133226,0.094176,0.095374,0.085680,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
3.500000,0.101928,-0.001472,0.009440,0.002389,0.014404,14.030451,2.233935,81.134142,-0.365421,-0.913027,-0.009672,0.250000,0.001681,0.000024,-0.000949,0.000148,2.000000,0.000000,0.002000,0.000000,0.000000,0.109695,-3.531641,-0.525808,-81.138400,0.009062,-0.000949,-0.002112,0.001496,-0.010389,0.034239,-0.006595,-0.007968,0.008693,0.060450,-0.014051,-0.008383,-0.009498,-0.038424,4.799637,1.930798,0.036067,0.054284,0.054332,0.047506,0.042443,0.042471,0.040480,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.000000,0.101928,-0.001493,0.009583,0.002425,0.040425,14.030891,2.231341,81.144548,-0.001792,-0.015138,-0.009672,0.250000,0.001752,-0.000796,0.003719,0.001009,2.000000,0.000000,0.002000,0.000000,0.000000,0.109695,-3.530624,-0.524767,-81.154918,0.008833,0.003719,-0.001399,0.000697,-0.005864,0.039070,-0.006659,-0.009219,0.008693,0.060450,-0.014051,-0.008383,-0.009498,-0.038424,4.799788,1.931163,0.051473,0.075887,0.075967,0.063163,0.070878,0.070941,0.066467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
4.500000,0.101928,-0.001456,0.009359,0.002368,0.018000,14.031258,2.228817,81.154642,-0.203447,0.197060,-0.176323,0.250000,-0.003122,-0.000306,0.000274,0.003232,3.000000,0.000000,0.497879,0.000000,0.000000,0.018181,-3.549282,-0.524419,-81.165623,0.009099,0.000274,0.000881,0.001150,-0.009086,0.043852,-0.006414,-0.005525,0.008699,0.060753,-0.014007,-0.008378,-0.009458,-0.038205,4.787542,1.929114,0.042354,0.047222,0.047235,0.039016,0.051700,0.051707,0.048726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
5.000000,0.101928,-0.001478,0.009511,0.002406,0.039331,14.031752,2.226171,81.165294,0.000732,-0.009758,-0.176323,0.250000,-0.004927,-0.001276,0.005341,0.004642,3.000000,0.000000,0.497879,0.000000,0.000000,0.018181,-3.548215,-0.523307,-81.181930,0.008273,0.005342,0.002256,0.000203,-0.004170,0.048326,-0.004715,-0.004902,0.008699,0.060753,-0.014007,-0.008378,-0.009458,-0.038205,4.787699,1.929500,0.056192,0.063433,0.063454,0.049089,0.072496,0.072513,0.067754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
